anio,pais,combustible,continente,Idanio,Idpais,Idcombustible,Idcontinente
None,Lithuania,None,None,6adf97f83acf6453d4a6a4b1070f3754,d9051e0b77f8bb5521389618e70e2ada,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Luxembourg,None,None,6adf97f83acf6453d4a6a4b1070f3754,06630c890abadde9228ea818ce52b621,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Macau,None,None,6adf97f83acf6453d4a6a4b1070f3754,9d6c9d893aa285a736aeabb2b66b316f,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Madagascar,None,None,6adf97f83acf6453d4a6a4b1070f3754,b5bcce260d9e303ca0e63f055187ed28,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Malawi,None,None,6adf97f83acf6453d4a6a4b1070f3754,70965feb0441ff7fc1982fc5c509136e,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Malaysia,None,None,6adf97f83acf6453d4a6a4b1070f3754,3f0e49c46cbde0c7adf5ea04a97ab261,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Maldives,None,None,6adf97f83acf6453d4a6a4b1070f3754,62235142f3fca96e1f2cd0ed4a7de48d,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Mali,None,None,6adf97f83acf6453d4a6a4b1070f3754,e90c93ceb8ccdcdf3b797f47edee866d,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Malta,None,None,6adf97f83acf6453d4a6a4b1070f3754,92468e8a62373add2b9caefddbcf1303,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Martinique,None,None,6adf97f83acf6453d4a6a4b1070f3754,899c4b2a0d41d5b86e2dbc3b2f5380cf,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Mauritania,None,None,6adf97f83acf6453d4a6a4b1070f3754,d7fe73b6846dfc672236e636aa2cf6b5,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Mauritius,None,None,6adf97f83acf6453d4a6a4b1070f3754,07f3ca235faaa1c9ad16facef5526d8b,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Mexico,None,None,6adf97f83acf6453d4a6a4b1070f3754,8dbb07a18d46f63d8b3c8994d5ccc351,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Micronesia,None,None,6adf97f83acf6453d4a6a4b1070f3754,19a5a05a4982fef88f96039a43dbcfd8,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Moldova,None,None,6adf97f83acf6453d4a6a4b1070f3754,0c12f5495afe76d9242ed25668979de9,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Mongolia,None,None,6adf97f83acf6453d4a6a4b1070f3754,bb6a72b6a93150d4181e50496fc15f5a,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Montenegro,None,None,6adf97f83acf6453d4a6a4b1070f3754,4e92f9d2cdf0b8eb493ae3a19709d121,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Montserrat,None,None,6adf97f83acf6453d4a6a4b1070f3754,3bac87d64d97e96d0e935628a9383379,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Morocco,None,None,6adf97f83acf6453d4a6a4b1070f3754,4d4a1722d8e85909a576da2c42878ff0,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Mozambique,None,None,6adf97f83acf6453d4a6a4b1070f3754,a6d3bea3fa66775952e080b90bb0c4f1,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Namibia,None,None,6adf97f83acf6453d4a6a4b1070f3754,69f4287626aee77f93e2c891b518838b,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Nauru,None,None,6adf97f83acf6453d4a6a4b1070f3754,d0c5ab6bebe308a495693e990a2947bc,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Nepal,None,None,6adf97f83acf6453d4a6a4b1070f3754,7fef6b003c726890ea5ca3708fe8ff56,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,Netherlands,None,None,6adf97f83acf6453d4a6a4b1070f3754,a67d4cbdd1b59e0ffccc6bafc83eb033,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,New Caledonia,None,None,6adf97f83acf6453d4a6a4b1070f3754,53a952d732c715fb1b34898400320751,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
None,New Zealand,None,None,6adf97f83acf6453d4a6a4b1070f3754,c51ed580ea5e20c910d951f692512b4d,6adf97f83acf6453d4a6a4b1070f3754,6adf97f83acf6453d4a6a4b1070f3754
